ifcguid,area,name,olf_value,perimeter,space_function,unbounded_height,classification
2SzsE5m8T4h9JlM6XpBSmA,9.570753178738276,Enclosed office,50.0,12.575742608000171,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmB,5.868271226287775,Enclosed office,50.0,9.709994720000175,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSm8,6.253166223801639,Confidential meetings room,50.0,10.007906240000178,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSm9,5.749303473005941,Confidential meetings room,50.0,9.617912816000127,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmM,12.863346158653824,Enclosed office,50.0,14.421196880000021,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmN,8.580961532552724,Enclosed office,50.0,11.776197344000037,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmK,6.476193437710486,Enclosed office,50.0,10.476194864000034,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmL,9.714299041908253,Enclosed office,50.0,12.476199200000051,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmI,53.46790431724529,Meeting room,50.0,31.648512992000022,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmV,8.68537845325373,Changing room,50.0,12.650359472000018,ASSEMBLY USE - LOCKER ROOMS,2.4384,space
2SzsE5m8T4h9JlM6XpBSmS,23.40000966319976,Open office,15.0,19.387234079999995,ASSEMBLY USE - STAGES AND PLATFORMS,2.4384,space
2SzsE5m8T4h9JlM6XpBSmT,22.24363265071717,Enclosed office,50.0,20.031112208000053,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmQ,33.83966809615133,Meeting room,50.0,24.459918992000073,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmR,33.83221599406753,Meeting room,50.0,24.456395504000042,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmO,9.114821136048684,Changing room,50.0,12.849635888000014,ASSEMBLY USE - LOCKER ROOMS,2.4384,space
2SzsE5m8T4h9JlM6XpBSmP,10.023572570422756,Corridor,0.0,23.675741743999968,UNOCCUPIED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmd,11.535629471583587,Confidential meetings room,50.0,14.72377611200016,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmY,48.73911952352692,Corridor,0.0,64.12024688000001,UNOCCUPIED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmk,12.078038033622384,Stairway,0.0,14.719792976000008,UNOCCUPIED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmg,53.504569171798934,Meeting room,50.0,31.663509152000014,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmh,11.603734917173407,Stairway,0.0,14.525799968000007,UNOCCUPIED,2.4384,space
2SzsE5m8T4h9JlM6XpBSme,17.65148791276989,Meeting room,50.0,17.674717424000008,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSms,42.65272777630468,Breakout space,15.0,26.318729600000008,ASSEMBLY USE - UNCONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmt,69.80794804071975,Meeting room,50.0,35.715000368,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmq,40.903788776665415,Corridor,0.0,54.29140728000001,UNOCCUPIED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmo,15.64511177884509,Corridor,0.0,18.283780976000134,UNOCCUPIED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmm,21.63705703588728,Corridor,0.0,28.410084320000003,UNOCCUPIED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmn,2.529026490974492,Shower,0.0,6.540320384000015,UNOCCUPIED,2.4384,space
2SzsE5m8T4h9JlM6XpBSm_,2.6540725010003126,Shower,0.0,6.739596800000012,UNOCCUPIED,2.4384,space
2SzsE5m8T4h9JlM6XpBSm$,34.671944126973884,Meeting room,50.0,24.85343408000003,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmy,6.253166223801639,Confidential meetings room,50.0,10.007906240000178,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmz,5.749303473005941,Confidential meetings room,50.0,9.617912816000127,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmw,9.570753178738318,Enclosed office,50.0,12.575742608000201,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmx,5.868271226287733,Enclosed office,50.0,9.709994720000147,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmu,12.863346158653824,Enclosed office,50.0,14.421196880000018,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSmv,8.580961532552724,Enclosed office,50.0,11.776197344000037,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSp6,6.476193437710486,Enclosed office,50.0,10.47619486400004,BUSINESS USE - CONCENTRATED,2.4384,space
2SzsE5m8T4h9JlM6XpBSp7,9.714299041908253,Enclosed office,50.0,12.476199200000053,BUSINESS USE - CONCENTRATED,2.4384,space
3cb6LfaebBofd08xyUJOhA,6.6895185117392115,Power supply room,300.0,10.346266544000015,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,space
3cb6LfaebBofd08xyUJOh8,7.840677790596817,Power supply room,300.0,11.246265968000003,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,space
3cb6LfaebBofd08xyUJOh4,6.774261252743763,Power supply room,300.0,10.411262096000016,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,space
3cb6LfaebBofd08xyUJOh2,7.874998600490679,Power supply room,300.0,11.266266944000009,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,space
3cb6LfaebBofd08xyUJOh_,6.708699600383147,Power supply room,300.0,10.361262704000014,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,space
3cb6LfaebBofd08xyUJOhy,7.798561991571137,Power supply room,300.0,11.216267552000007,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,space
24CUluy7v9PexUf_brGpoC,13.885817679114068,Toilet,150.0,17.67979600000001,BUSINESS USE - GENERAL,2.4384,space
24CUluy7v9PexUf_brGpoE,19.84399008040124,Toilet,150.0,25.869601312000004,BUSINESS USE - GENERAL,2.4384,space
24CUluy7v9PexUf_brGpoA,13.99156767351408,Toilet,150.0,15.849796304000012,BUSINESS USE - GENERAL,2.4384,space
24CUluy7v9PexUf_brGpo4,19.85824009000123,Toilet,150.0,25.869601312000004,BUSINESS USE - GENERAL,2.4384,space
24CUluy7v9PexUf_brGpo0,13.885817679114068,Toilet,150.0,17.679796000000017,BUSINESS USE - GENERAL,2.4384,space
24CUluy7v9PexUf_brGpo2,19.84399008040124,Toilet,150.0,25.869601312000004,BUSINESS USE - GENERAL,2.4384,space
